"Tên ảnh","Link công khai"
"Hoa giả 10k","https://drive.google.com/uc?export=view&id=1QBzYDC54_9f66Rs-k0kvNzibntH-r2mL"
"Hoa giả 20k","https://drive.google.com/uc?export=view&id=1G2_qkrlehhb2bxwAHqB9-daJzZF_slGZ"
"Quạt","https://drive.google.com/uc?export=view&id=18TkXJzyVdz07fE0UAngyKr2WlL-nM116"
"Kẹp tóc - Hoa kẹp","https://drive.google.com/uc?export=view&id=1xbijSgW5wD_cyPE4_jzajFLXSYBcD5ml"
"Quốc mộc","https://drive.google.com/uc?export=view&id=1D5olV7nfIQ7zXKnR9nKusZf2iAqk4xWp"
"Vòng cổ","https://drive.google.com/uc?export=view&id=1p0Axbfe74Ewlq6zO_SL4iLXM2ZU5Z1cc"
"Voan tròn","https://drive.google.com/uc?export=view&id=1v9rmwq4l1LRH8GWbD0n_PwTIzxY4Ra9q"
"Voan dài","https://drive.google.com/uc?export=view&id=1OW7t9YeL0uTfXHTYVDD6hoT4-SYf05Ad"
"Nước nhỏ mắt","https://drive.google.com/uc?export=view&id=1gCTo9WY1D5FoQlN9sNS66bDiA5TmLJlg"
"Nước ngâm lens","https://drive.google.com/uc?export=view&id=1kUcTaAIkpW_Cm6Ky7ZxIa1eOcjT8tRaO"
"Lens","https://drive.google.com/uc?export=view&id=1VDT37PZQOi1T8d1IoD2N2jkBFl15VCl4"
"Khuyên tai","https://drive.google.com/uc?export=view&id=1lDqnwODYNqpm_8QEuaS_Xh0VeKkwnV81"
"Khăn","https://drive.google.com/uc?export=view&id=1Ts_m2GbG7oFeWirPgCJYA2O0S-lKj6gh"
"Hỗ trợ đeo lens","https://drive.google.com/uc?export=view&id=1E2Sf7mltY8lzAl27H9Fzr14AVAaIik-l"
"Cờ đỏ","https://drive.google.com/uc?export=view&id=1kOaFrdMU1NGxXr4AJwRjubrSB3MrjiQ_"
"Sticker","https://drive.google.com/uc?export=view&id=1t2D1aLdBvE27UHTuDo5b8PfB0qTo_4wq"
"Bờm","https://drive.google.com/uc?export=view&id=1G00rmFhmDNCkgx9Sg90-WAaK4wrGpqS5"
"Vòng bạc","https://drive.google.com/uc?export=view&id=18pGZzz0tSNp6HibX5VHVMRrMqzGE5ZSh"
"Áo choàng","https://drive.google.com/uc?export=view&id=1O1pXwma3QyhwkrMBwkT3P7pVUagKg0bo"
"Trâm","https://drive.google.com/uc?export=view&id=1bQk8pGnnEZ1DWkayrvykeu9qFfjDfqVQ"
"Crunchies","https://drive.google.com/uc?export=view&id=16Zc539_nAi1vsx1ceZkVOsDk4ddccNqu"
"Voan hoa","https://drive.google.com/uc?export=view&id=1EFuZpR6bmNR3gRmhhVTAliBxBkcfQGHI"
